Platform,Alignment Bin,Slope (β),Std Error,N
bsky,0.0–0.1,0.8458325776581775,0.0008563510138358425,62927
ts,0.0–0.1,0.6019290611521492,0.0018467676933994236,24452
bsky,0.1–0.2,0.2760619126105052,0.04819617234883301,523
ts,0.1–0.2,0.22233749080029286,0.009434692858793031,1638
bsky,0.2–0.3,0.4252070322365969,0.022981608694086636,903
ts,0.2–0.3,0.26277004077943267,0.006341772986373905,3208
bsky,0.3–0.4,0.4571727133320866,0.010418443285973113,2153
ts,0.3–0.4,0.37524356809456877,0.004718919142568171,4566
bsky,0.4–0.5,0.484228446830507,0.006063910685625608,3654
ts,0.4–0.5,0.37057298026566904,0.004198024969415102,4015
bsky,0.5–0.6,0.4407425015574113,0.017478563681749354,994
ts,0.5–0.6,0.3368729503039193,0.010434042329958742,1359
bsky,0.6–0.7,0.4570946847160573,0.013445665058607174,1357
ts,0.6–0.7,0.3165422155940366,0.010693617018618875,1076
bsky,0.7–0.8,0.5258276798714375,0.028185741718309513,767
ts,0.7–0.8,0.26902619392579374,0.025994130353257077,522
bsky,0.8–0.9,0.363339964913377,0.09226511747859308,190
ts,0.8–0.9,0.14599072781422567,0.07336680904894778,108
bsky,0.9–1.0,0.5539753311613795,0.00604815302971708,5880
ts,0.9–1.0,0.28763160809993205,0.00797253520826525,2897
