triple,star_bsky,star_ts,chain_bsky,chain_ts
L--L--L,13436,1423162,6519,4747
L--L--C,20482,1361062,2659,3270
L--L--R,3869,4721187,346,11883
L--C--L,18970,1695796,4966,3727
L--C--C,31468,2929973,3113,7194
L--C--R,6179,6432294,290,8869
L--R--L,3751,4837988,471,26476
L--R--C,5846,5384674,191,10673
L--R--R,1462,20194975,88,40264
C--L--L,16997,158383,1533,2040
C--L--C,36051,137961,6197,3390
C--L--R,8058,437959,249,5929
C--C--L,30243,142810,2930,3421
C--C--C,74502,197087,25971,13261
C--C--R,15559,458039,980,8179
C--R--L,6786,466118,161,7371
C--R--C,15173,458308,1518,8093
C--R--R,4093,1929621,171,16393
R--L--L,407,11197554,89,15565
R--L--C,841,6961901,111,14127
R--L--R,281,24241501,307,66065
R--C--L,778,8183288,111,15549
R--C--C,1735,6435618,384,30188
R--C--R,625,19234403,819,48366
R--R--L,238,23352704,74,45060
R--R--C,448,15651387,163,30149
R--R--R,224,64855781,357,128058
