table,spec,y,coef,b_size,pseudo_r2,mae,rmse,n
threshold,0.5,log_breadth,0.15461275638133484,0.13991156778211838,0.9537520923257976,0.04442871884926682,0.09953226108659169,120693
threshold,0.5,log_depth,-0.1071769693782082,0.979215206544944,0.9078683671989483,0.03876913222031626,0.08408086390460355,120693
threshold,0.6,log_breadth,0.06616890241152215,0.21335036619122086,0.9547829714303702,0.0468456901919738,0.09841670825542662,120693
threshold,0.6,log_depth,-0.04545439729729466,0.9477777995102125,0.9077944472866921,0.040230996549775085,0.08411458741369494,120693
threshold,0.7,log_breadth,-0.0076771155418360465,0.23446950034978514,0.9567564726926692,0.04475640806471771,0.09624504527510255,120693
threshold,0.7,log_depth,0.013070295218471719,0.9203946999432367,0.913268822108236,0.038199025067912194,0.0815793805988281,120693
encoding,LR,log_breadth,0.06616890241152215,0.21335036619122086,0.9547829714303702,0.0468456901919738,0.09841670825542662,120693
encoding,LR,log_depth,-0.04545439729729466,0.9477777995102125,0.9077944472866921,0.040230996549775085,0.08411458741369494,120693
encoding,MajMin,log_breadth,0.12163860879704318,0.4106040111157536,0.9525705272111792,0.043700003330674246,0.10079569274718858,120693
encoding,MajMin,log_depth,-0.0969965198769818,0.809250657584566,0.906385315693,0.038045647433656155,0.08475489102714556,120693
