y,rule,order,draw,b3,lo,hi,n
breadth,code,api,,-0.056416370419743345,-0.05984742430903958,-0.05298531653044711,4000
breadth,first,api,,-0.02522682763323414,-0.03404148394960645,-0.016412171316861825,4000
breadth,first,rev,,-0.07163597689058498,-0.08005693342575812,-0.06321502035541185,4000
breadth,last,api,,-0.025454692496911235,-0.0349534392265567,-0.01595594576726577,4000
breadth,last,rev,,-0.08325205328092933,-0.09163103183563111,-0.07487307472622755,4000
breadth,random,api,0.0,-0.02680465213570371,-0.036159829097699187,-0.01744947517370823,4000
breadth,random,api,1.0,-0.02754761014376772,-0.036964465979367686,-0.018130754308167758,4000
breadth,random,api,2.0,-0.02565846219117285,-0.03506711411017797,-0.01624981027216773,4000
breadth,random,api,3.0,-0.0258899446673424,-0.03533271204333671,-0.016447177291348092,4000
breadth,random,api,4.0,-0.026110550037559355,-0.035510287865564136,-0.016710812209554574,4000
breadth,random,api,5.0,-0.028010373312857384,-0.03749442463100246,-0.01852632199471231,4000
breadth,random,api,6.0,-0.026408100329164963,-0.035835455593342905,-0.01698074506498702,4000
breadth,random,api,7.0,-0.02760987614003163,-0.0370226218340265,-0.018197130446036762,4000
breadth,random,api,8.0,-0.02612492677797018,-0.03555549171009234,-0.01669436184584802,4000
breadth,random,api,9.0,-0.026755795440903674,-0.03615519809648928,-0.017356392785318066,4000
breadth,random,api,10.0,-0.026259473387338028,-0.03571387902161959,-0.016805067753056464,4000
breadth,random,api,11.0,-0.026998075640808583,-0.03642813197632232,-0.01756801930529485,4000
breadth,random,api,12.0,-0.02610048646862073,-0.03551737717042258,-0.016683595766818885,4000
breadth,random,api,13.0,-0.026083576568611377,-0.03553198457881481,-0.016635168558407944,4000
breadth,random,api,14.0,-0.026564110861828638,-0.03599568990045128,-0.017132531823205996,4000
breadth,random,api,15.0,-0.02600227468756633,-0.035435484295102376,-0.016569065080030285,4000
breadth,random,api,16.0,-0.026052015018981134,-0.03549794033551986,-0.016606089702442407,4000
breadth,random,api,17.0,-0.026600163759995743,-0.0360082224466333,-0.017192105073358187,4000
breadth,random,api,18.0,-0.026272262304427585,-0.0356910112575666,-0.016853513351288568,4000
breadth,random,api,19.0,-0.026650709868198064,-0.03612245536940276,-0.017178964366993364,4000
breadth,random,rev,0.0,-0.08345452074811566,-0.09056011997582325,-0.07634892152040806,4000
breadth,random,rev,1.0,-0.08252161016812942,-0.09017104409033594,-0.0748721762459229,4000
breadth,random,rev,2.0,-0.0831008312435495,-0.09123480514621934,-0.07496685734087966,4000
breadth,random,rev,3.0,-0.08164496467092253,-0.08933909006477903,-0.07395083927706603,4000
breadth,random,rev,4.0,-0.08177312848860607,-0.08951541642436504,-0.0740308405528471,4000
breadth,random,rev,5.0,-0.08061734529858366,-0.08826948586603257,-0.07296520473113476,4000
breadth,random,rev,6.0,-0.08231246522219082,-0.09006203290595738,-0.07456289753842427,4000
breadth,random,rev,7.0,-0.08169742807471914,-0.08974294027899737,-0.0736519158704409,4000
breadth,random,rev,8.0,-0.08206795570846981,-0.08905518574089519,-0.07508072567604443,4000
breadth,random,rev,9.0,-0.08100062903554828,-0.0890772012535116,-0.07292405681758496,4000
breadth,random,rev,10.0,-0.08197171690392058,-0.08974754892714894,-0.07419588488069222,4000
breadth,random,rev,11.0,-0.08280105481936084,-0.09020880222091182,-0.07539330741780986,4000
breadth,random,rev,12.0,-0.08314384926372353,-0.09091626535826984,-0.07537143316917723,4000
breadth,random,rev,13.0,-0.08207038821925938,-0.09022809384028926,-0.0739126825982295,4000
breadth,random,rev,14.0,-0.08280210217014694,-0.0907710082767977,-0.07483319606349619,4000
breadth,random,rev,15.0,-0.08082128627342955,-0.08809449737029673,-0.07354807517656237,4000
breadth,random,rev,16.0,-0.08211927504011829,-0.09020288553824744,-0.07403566454198914,4000
breadth,random,rev,17.0,-0.0818272543060109,-0.08899804587590956,-0.07465646273611223,4000
breadth,random,rev,18.0,-0.0813133574941215,-0.08939785947086809,-0.0732288555173749,4000
breadth,random,rev,19.0,-0.08204518194564092,-0.08966174673831057,-0.07442861715297128,4000
depth,code,api,,-0.06761920077474681,-0.07946236896850428,-0.055776032580989336,4000
depth,first,api,,-0.05029284920836846,-0.05961042042615764,-0.04097527799057928,4000
depth,first,rev,,-0.029192815325825072,-0.03915921894403257,-0.01922641170761757,4000
