rate,seed,y,b3,lo,hi,n
0.0,0,breadth,0.03117023973786265,0.025754398515344414,0.036586080960380886,244129
0.0,0,depth,0.003761894277232927,5.105566325007372e-05,0.007472732891215781,244129
0.05,1,breadth,0.028436142833988418,0.023044591274994603,0.033827694392982235,244129
0.05,1,depth,0.005418598432198759,0.0017205881040692882,0.00911660876032823,244129
0.05,2,breadth,0.0277468816533387,0.022372672421958437,0.033121090884718964,244129
0.05,2,depth,0.004676129441569846,0.0009800050042709047,0.008372253878868786,244129
0.05,3,breadth,0.02795153399089866,0.02255719812982919,0.03334586985196813,244129
0.05,3,depth,0.004931631065081455,0.0012556818954383908,0.008607580234724518,244129
0.1,1,breadth,0.021901489220077945,0.016537077659691785,0.027265900780464106,244129
0.1,1,depth,0.008333575883798159,0.004694850858574106,0.011972300909022212,244129
0.1,2,breadth,0.02255523242381507,0.017179960892873672,0.02793050395475647,244129
0.1,2,depth,0.006591323841746292,0.0029176193742476526,0.01026502830924493,244129
0.1,3,breadth,0.02354977255142106,0.018180233406111437,0.028919311696730687,244129
0.1,3,depth,0.006093795468580131,0.0024334210695817165,0.009754169867578545,244129
0.2,1,breadth,0.015451185586914004,0.010127527816312615,0.020774843357515393,244129
0.2,1,depth,0.008962185082495217,0.005334310705298483,0.01259005945969195,244129
0.2,2,breadth,0.014225784671992509,0.008888649914393929,0.01956291942959109,244129
0.2,2,depth,0.008253440026548533,0.004623718076122176,0.01188316197697489,244129
0.2,3,breadth,0.014471682994914189,0.009158387580486371,0.019784978409342006,244129
0.2,3,depth,0.011395982831557077,0.007871688694169597,0.014920276968944558,244129
0.3,1,breadth,0.005266075868331618,-3.461467923644105e-05,0.010566766415899678,244129
0.3,1,depth,0.011593074917672837,0.008027953805225025,0.01515819603012065,244129
0.3,2,breadth,0.003994320095474121,-0.001262689168047594,0.009251329358995836,244129
0.3,2,depth,0.013494205802062524,0.009895629991454179,0.01709278161267087,244129
0.3,3,breadth,0.005910901173721579,0.0006588363744875064,0.011162965972955652,244129
0.3,3,depth,0.012594487569627699,0.009072997134953145,0.016115978004302253,244129
