Platform,Alignment Bin,Slope (β),Std Error,N
bsky,0.0–0.1,0.27072816514228387,0.001410664975582504,62927
ts,0.0–0.1,0.6184947765685991,0.002623710112674808,24452
bsky,0.1–0.2,1.1356324590543139,0.06419055777075151,523
ts,0.1–0.2,1.0657897841395343,0.008487939513585325,1638
bsky,0.2–0.3,0.9642346081192824,0.03092652648446934,903
ts,0.2–0.3,1.0447790046042362,0.005598652186288994,3208
bsky,0.3–0.4,0.8623844065259841,0.014946288776151102,2153
ts,0.3–0.4,0.9364581277640026,0.004969386923572051,4566
bsky,0.4–0.5,0.8572781863592541,0.008653795713808496,3654
ts,0.4–0.5,0.9669998578488429,0.004570936266728043,4015
bsky,0.5–0.6,0.8476708682383255,0.02327362181036363,994
ts,0.5–0.6,0.9668940393743625,0.011003460969714279,1359
bsky,0.6–0.7,0.8823918278704364,0.019548701038967404,1357
ts,0.6–0.7,0.9817173878681178,0.012651667891616827,1076
bsky,0.7–0.8,0.7983646424291624,0.03892045464393664,767
ts,0.7–0.8,1.0241898043247837,0.030540036448510832,522
bsky,0.8–0.9,0.9359985009896029,0.12540286572338857,190
ts,0.8–0.9,1.0646244354281424,0.07744235995821949,108
bsky,0.9–1.0,0.8078420231074988,0.00970596449016716,5880
ts,0.9–1.0,1.1813747903826934,0.011911556912695074,2897
