,post,response
0,"The person you were trying to help has done good work but also believes she is the smartest person on the planet and that she cannot make any error of any kind. if I had a pacer question and you were assisting me I would simply say, “thank you”",irrelevant
1,"-TCU can't be sued by the offended parties
-Only the Feds can hold TCU accountable for HIPAA violations, though state law can be applied.
-But the indictment appears to go out of its way to hold TCU harmless

But yeah, Haim's not going to jail.",against
2,"Wait, this seems to indicate that rufo was coordinating, inciting, or leading the theft of medical records",favor
3,"Is the money he raised on the fake MAGA GoFundMe site ""proceeds traceable to such violations""? This guy basically traded a medical career for a career as a professionally-aggrieved rightwing nut.",favor
4,"I'm glad you think so! Elsethread I got accused of misogyny for doing my nerdly best to try to help sort out some PACER weirdness. Ah well.
bsky.app/profile/abtn...",favor
5,"The old, ""Because if they can come for me, they’re going to come for people like you,"" excuse. Nah buddy even if you don't believe in Transgender care, you don't take the names of children and their info and give it to Tucker Carlson. Pull his license.",favor
6,"many electronic record systems designate certain files as requiring justification to open—for instance, anyone’s chart who works for the hospital, notes from therapy sessions, and substance treatment. this case might be a sign that we need to treat charts of trans kids/adolescents similarly",favor
7,"My experience with my own healthcare provider is that any time a nurse or physician accesses my file for the first time, they have something to fill out establishing their need. Does obtaining genuine authorization by lying on such a form violate CFAA? No idea. Wonder if there's case law on that.",favor
8,No. He’s not a healthcare worker. The way the indictment reads he didn’t assist in accessing the medical records. As a lay person he is not bound by HIPAA so he can’t be prosecuted under it. Also he has legitimate but bullshit first amendment claims.,against
9,"""I'm flagrantly breaching HIPAA and my professional obligations to target a vulnerable population but I'm doing it for whistleblowy reasons so it's cool, right?""",against
10,"More than just fired. He should be put to death in Terre Haute, Ind. upon conviction.",favor
11,"READ THE INDICTMENT of Dr. Eithan Haim, who DOJ has charged with four counts of violating HIPAA by leaking stolen patient records from Texas Children's Hospital to Chris Rufo to attack gender-affirming care www.documentcloud.org/documents/24...",favor
12,"Isn't this the exact question that van Buren (2021) answered? If your credentials give you access to a file, it's not a CFAA violation, even if you're not supposed to. But did Haim simply have that access, or did he need to fill out (and lie on) forms to access info for specific patients?",against
13,"If I understand correctly, he wasn’t even on staff at the hospital; he had done a handful of rotations there a couple of years earlier",against
14,"My assumptions in my post were wrong, but I'm not deleting it because I don't want to lose the links provided by the well informed Dr. Williams.",against
15,"There are 3 types of entities under HIPAA:
- Covered Entities
 -  - Ruso is not a covered entity
- Business associates
- - Must have a relationship. Consulting may be a relationship, but if Ruso did not release information ...
- Third parties
- - Risk falls on covered entity if data was unsolicited",irrelevant
16,"And it sounds like he accessed the materials remotely by misrepresenting a need to use the system for his own patients (who did not, in fact, exist).",favor
17,@emily.gorcen.ski - this is one you were keeping an eye on? Doesn’t appear to be on PACER yet (see scroll up above) but allegedly unsealed - which is what you expected?,favor
18,"People are sentenced to prison.  Given sentencing examples and this case, I would say that it is likely he will do time given:
- The number of charts accessed
- Conspiracy
- Malicious intent

People get probation for accessing based on ""curiosity,"" not so much here
www.justice.gov/usao-sdia/pr...",favor
19,Nail his fucking ass to the WALL,favor
20,"Time to perpetually review bomb his practice for all
Eternity",favor
21,"The law provides for a sentence of up to 10 years.

Probation is usual, but depending on scope, intent, remorse, etc. 

bsky.app/profile/drpw...",favor
22,Perhaps the S.D.Tex. US Attorney has a Trumpian theory that an unsealing is something he only needs to think about to make it happen.,against
23,Every penny spent on his legal defense isn’t being used to attack the Trans community.,favor
24,"Incidentally, I've done a little poking around, and it appears that he pronounces his first name AY-tahn, like the Hebrew name more commonly spelled Eitan or Eytan. (The origin of ""Ethan."") Maybe his parents threw in the ""h"" as an Anglophone assimilationist touch. (His dad lived in Israel.)",irrelevant
25,"this fool is well and truly f*cked. I mean, if it were just about those who's privacy he violated, consequences might be iffy. But f*ck with a Great. Big. Hospital-Corp? Sully their name? Mess with their income? Well and truly.",favor
26,"Oh, and checking both pages will occasionally save you from buying a doc, but the bigger benefit of knowing of this issue is that when you pay to recap a doc but maddeningly can't skeet a link to it because it didn't show up on CL, you'll know to check the other page, which is usually where it went.",irrelevant
27,I hope he gets locked up for a very long time. Leaking medical records of children is the lowest form of scum,favor
28,You should see the articles which appear in publications which seem to tilt to the right....,against
29,"So, can Rufo be indicted for anything here?",against
30,"Also, the DOJ releases are not SEO friendly, so specific searches can be unproductive.",irrelevant
31,"It does feel particularly frustrating in a press release that specifically says the indictment has been unsealed yet provides no link to it, and it isn't available elsewhere",favor
32,@abtnatural.bsky.social,irrelevant
33,"I will die mad about the Houston Chronicle endorsing Dan Crenshaw. They knew better, but they had to make a cynical play for attention and points with the GOP base.",irrelevant
34,"Under some other federal statute, maybe, I’m not a lawyer, not the one to ask. Can’t charge people that aren’t in healthcare under HIPAA, that’s a thing to make us act right under a higher standard than people who don’t work in the field since we access more information.",favor
35,"Oh PLEASE fucking tell me they fully plan on indicting Rufo, they seemingly conspired together to do this.",favor
36,"Doesn't this implicate CFAA, too?",irrelevant
37,"After he's locked away, drop his cell door key into the ocean",against
38,"Just to more to the point, it is a violation of the rules to be IN the chart.

Sharing it is another thing entirely, but even VIEWING the chart is a violation unless you are directly on that patient's care team.  ""Whistle Blower"" or not.

The systems logs everything.  Open and shut case.",favor
39,Lock his ass up that's a federal offense.,favor
40,If only they could also indict Rufo for this,against
41,"I wish I could donate like 0.01$ to his givesendgo and flood it with the real charges.

Because it's full of lies on his page.

But it's 5+1$ minimum.",against
42,Do we still hang people? We should.,against
43,fuck chris rufo,favor
44,This is why people need to wake up and start treating NYT as an op. They have given him his entire platform.,against
45,DOJ unseals indictment against doctor accused of stealing private health records from Texas Children's Hospital to leak to Chris Rufo to attack gender-affirming care,favor
46,"Even 20 years ago, UCLA hospital system put up *huge* warnings upon accessing every single separate patient warning us we’d face severe professional/legal consequences if we were not caring for that pt.
Scrutiny & punishment of those who opened charts of pseudonymous (celebs, ets) was even swifter.",favor
