Motif 0 Real: 69522, Mean: 70677.6, Std: 632.573, Z-score: -1.82683
Motif 1 Real: 27209, Mean: 26594.7, Std: 418.477, Z-score: 1.46794
Motif 2 Real: 22201, Mean: 19883.8, Std: 424.542, Z-score: 5.45821
Motif 3 Real: 23615, Mean: 26242.1, Std: 368.952, Z-score: -7.12035
Motif 4 Real: 10332, Mean: 12330.3, Std: 288.765, Z-score: -6.92012
Motif 5 Real: 8286, Mean: 8173.99, Std: 212.336, Z-score: 0.527512
Motif 6 Real: 21074, Mean: 19663.2, Std: 391.721, Z-score: 3.6016
Motif 7 Real: 8827, Mean: 8198.35, Std: 221.065, Z-score: 2.84374
Motif 8 Real: 7989, Mean: 7291.06, Std: 182.656, Z-score: 3.82106
Motif 9 Real: 26163, Mean: 24186.6, Std: 389.147, Z-score: 5.07888
Motif 10 Real: 15095, Mean: 14449, Std: 322.372, Z-score: 2.00396
Motif 11 Real: 12889, Mean: 10931.2, Std: 313.661, Z-score: 6.24183
Motif 12 Real: 11739, Mean: 14172.8, Std: 392.087, Z-score: -6.20735
Motif 13 Real: 8571, Mean: 11744.2, Std: 242.002, Z-score: -13.1122
Motif 14 Real: 5859, Mean: 6716.24, Std: 216.061, Z-score: -3.96758
Motif 15 Real: 11737, Mean: 10859.9, Std: 315.058, Z-score: 2.78396
Motif 16 Real: 7057, Mean: 6768.08, Std: 203.543, Z-score: 1.41945
Motif 17 Real: 6629, Mean: 5911.05, Std: 202.247, Z-score: 3.54987
Motif 18 Real: 3206, Mean: 2798.91, Std: 83.7906, Z-score: 4.85842
Motif 19 Real: 1521, Mean: 1420.18, Std: 74.7338, Z-score: 1.34906
Motif 20 Real: 1612, Mean: 1456.71, Std: 65.978, Z-score: 2.35366
Motif 21 Real: 1409, Mean: 1377.54, Std: 73.1022, Z-score: 0.430357
Motif 22 Real: 766, Mean: 949.13, Std: 55.9364, Z-score: -3.2739
Motif 23 Real: 750, Mean: 810.29, Std: 43.6104, Z-score: -1.38247
Motif 24 Real: 1284, Mean: 1380.36, Std: 64.3544, Z-score: -1.49733
Motif 25 Real: 652, Mean: 760.06, Std: 45.4512, Z-score: -2.37749
Motif 26 Real: 2508, Mean: 2754.82, Std: 44.308, Z-score: -5.57055
Motif 27 Real: 21346, Mean: 19803.1, Std: 72.7661, Z-score: 21.2041
Motif 28 Real: 3257, Mean: 4574.96, Std: 45.3235, Z-score: -29.0789
Motif 29 Real: 1892, Mean: 2651.53, Std: 39.6799, Z-score: -19.1414
Motif 30 Real: 5588, Mean: 4299.33, Std: 54.8196, Z-score: 23.5075
Motif 31 Real: 1752, Mean: 2390.93, Std: 35.2447, Z-score: -18.1284
Motif 32 Real: 521, Mean: 784.32, Std: 25.4661, Z-score: -10.34
Motif 33 Real: 2609, Mean: 2010.82, Std: 35.0608, Z-score: 17.0612
Motif 34 Real: 392, Mean: 582.85, Std: 21.7308, Z-score: -8.78245
Motif 35 Real: 532, Mean: 728.04, Std: 22.6426, Z-score: -8.65803
Motif 36 Real: 1988, Mean: 3256.53, Std: 50.049, Z-score: -25.3458
Motif 37 Real: 4717, Mean: 2803.82, Std: 49.4212, Z-score: 38.7117
Motif 38 Real: 519, Mean: 772.91, Std: 27.8336, Z-score: -9.12243
Motif 39 Real: 1631, Mean: 2746.59, Std: 41.4636, Z-score: -26.9053
Motif 40 Real: 5923, Mean: 4953.16, Std: 45.3103, Z-score: 21.4044
Motif 41 Real: 591, Mean: 927.43, Std: 27.1119, Z-score: -12.4089
Motif 42 Real: 304, Mean: 558.91, Std: 19.4267, Z-score: -13.1216
Motif 43 Real: 1309, Mean: 771.08, Std: 22.0672, Z-score: 24.3764
Motif 44 Real: 242, Mean: 383.41, Std: 16.9539, Z-score: -8.34083
Motif 45 Real: 628, Mean: 1175.4, Std: 37.0443, Z-score: -14.7769
Motif 46 Real: 254, Mean: 429.84, Std: 20.1668, Z-score: -8.71926
Motif 47 Real: 1751, Mean: 883.95, Std: 26.7802, Z-score: 32.3765
Motif 48 Real: 218, Mean: 403.92, Std: 22.5289, Z-score: -8.25253
Motif 49 Real: 265, Mean: 456.39, Std: 22.4242, Z-score: -8.53496
Motif 50 Real: 940, Mean: 466.93, Std: 19.7137, Z-score: 23.997
Motif 51 Real: 313, Mean: 581.37, Std: 21.7936, Z-score: -12.3141
Motif 52 Real: 165, Mean: 318.54, Std: 15.58, Z-score: -9.85496
Motif 53 Real: 1121, Mean: 1051.98, Std: 19.9048, Z-score: 3.4675
