Motif 0 Real: 13436, Mean: 13418.7, Std: 271.323, Z-score: 0.0636142
Motif 1 Real: 20482, Mean: 19602.6, Std: 355.413, Z-score: 2.47419
Motif 2 Real: 3869, Mean: 3226.13, Std: 111.405, Z-score: 5.77054
Motif 3 Real: 18970, Mean: 19330, Std: 340.093, Z-score: -1.05851
Motif 4 Real: 31468, Mean: 34280.4, Std: 508.621, Z-score: -5.52938
Motif 5 Real: 6179, Mean: 5547.91, Std: 189.368, Z-score: 3.3326
Motif 6 Real: 3751, Mean: 3229.36, Std: 125.232, Z-score: 4.16539
Motif 7 Real: 5846, Mean: 5565.46, Std: 217.663, Z-score: 1.28887
Motif 8 Real: 1462, Mean: 1262.41, Std: 62.5381, Z-score: 3.1915
Motif 9 Real: 16997, Mean: 15188.3, Std: 300.909, Z-score: 6.01093
Motif 10 Real: 36051, Mean: 32496, Std: 540.738, Z-score: 6.57438
Motif 11 Real: 8058, Mean: 6354.09, Std: 228.089, Z-score: 7.47038
Motif 12 Real: 30243, Mean: 31745.2, Std: 548.852, Z-score: -2.73697
Motif 13 Real: 74502, Mean: 83662.6, Std: 657.465, Z-score: -13.9331
Motif 14 Real: 15559, Mean: 14243.5, Std: 405.305, Z-score: 3.24563
Motif 15 Real: 6786, Mean: 6155.79, Std: 210.372, Z-score: 2.9957
Motif 16 Real: 15173, Mean: 14217.6, Std: 407.836, Z-score: 2.34249
Motif 17 Real: 4093, Mean: 3398.96, Std: 120.49, Z-score: 5.76016
Motif 18 Real: 407, Mean: 332.23, Std: 25.0595, Z-score: 2.9837
Motif 19 Real: 841, Mean: 698.5, Std: 49.6111, Z-score: 2.87234
Motif 20 Real: 281, Mean: 269.23, Std: 20.2274, Z-score: 0.581883
Motif 21 Real: 778, Mean: 692.99, Std: 48.8069, Z-score: 1.74176
Motif 22 Real: 1735, Mean: 1854.91, Std: 71.0078, Z-score: -1.68869
Motif 23 Real: 625, Mean: 628.61, Std: 38.0446, Z-score: -0.0948886
Motif 24 Real: 238, Mean: 253.69, Std: 20.6992, Z-score: -0.757999
Motif 25 Real: 448, Mean: 554.3, Std: 38.2621, Z-score: -2.7782
Motif 26 Real: 224, Mean: 292.54, Std: 18.4836, Z-score: -3.70814
Motif 27 Real: 6519, Mean: 5834.2, Std: 53.4119, Z-score: 12.8211
Motif 28 Real: 2659, Mean: 3616.93, Std: 57.3066, Z-score: -16.7159
Motif 29 Real: 346, Mean: 453.78, Std: 15.9561, Z-score: -6.75478
Motif 30 Real: 4966, Mean: 3267.78, Std: 55.6396, Z-score: 30.5218
Motif 31 Real: 3113, Mean: 4537.47, Std: 56.6252, Z-score: -25.1561
Motif 32 Real: 290, Mean: 440.06, Std: 20.9578, Z-score: -7.16011
Motif 33 Real: 471, Mean: 345.54, Std: 14.5557, Z-score: 8.61933
Motif 34 Real: 191, Mean: 301.93, Std: 17.1907, Z-score: -6.45291
Motif 35 Real: 88, Mean: 111.72, Std: 8.98942, Z-score: -2.63866
Motif 36 Real: 1533, Mean: 2272.12, Std: 44.3629, Z-score: -16.6608
Motif 37 Real: 6197, Mean: 4905.42, Std: 61.3335, Z-score: 21.0583
Motif 38 Real: 249, Mean: 413.9, Std: 20.7994, Z-score: -7.9281
Motif 39 Real: 2930, Mean: 4843.33, Std: 45.1415, Z-score: -42.3851
Motif 40 Real: 25971, Mean: 23756.4, Std: 75.146, Z-score: 29.4712
Motif 41 Real: 980, Mean: 1484, Std: 27.5611, Z-score: -18.2866
Motif 42 Real: 161, Mean: 286.81, Std: 15.1549, Z-score: -8.30161
Motif 43 Real: 1518, Mean: 1158.86, Std: 24.8893, Z-score: 14.4295
Motif 44 Real: 171, Mean: 275.75, Std: 13.4024, Z-score: -7.81578
Motif 45 Real: 89, Mean: 156.4, Std: 11.798, Z-score: -5.71285
Motif 46 Real: 111, Mean: 199.98, Std: 19.0978, Z-score: -4.65917
Motif 47 Real: 307, Mean: 157.27, Std: 10.6067, Z-score: 14.1165
Motif 48 Real: 111, Mean: 202.36, Std: 15.2286, Z-score: -5.99925
Motif 49 Real: 384, Mean: 667.61, Std: 24.7051, Z-score: -11.4798
Motif 50 Real: 819, Mean: 365.03, Std: 15.4792, Z-score: 29.3278
Motif 51 Real: 74, Mean: 105.49, Std: 8.61229, Z-score: -3.6564
Motif 52 Real: 163, Mean: 252.38, Std: 13.9035, Z-score: -6.42857
Motif 53 Real: 357, Mean: 355.52, Std: 13.0403, Z-score: 0.113494
