Motif 0 Real: 54239, Mean: 48610, Std: 1091.54, Z-score: 5.15696
Motif 1 Real: 12680, Mean: 16955.8, Std: 464.714, Z-score: -9.20082
Motif 2 Real: 38320, Mean: 35162.8, Std: 654.139, Z-score: 4.82653
Motif 3 Real: 9293, Mean: 16910.5, Std: 430.918, Z-score: -17.6773
Motif 4 Real: 4156, Mean: 5888.32, Std: 284.826, Z-score: -6.08202
Motif 5 Real: 8393, Mean: 12218.5, Std: 392.921, Z-score: -9.73605
Motif 6 Real: 34523, Mean: 35186.4, Std: 641.48, Z-score: -1.03411
Motif 7 Real: 10382, Mean: 12236.5, Std: 405.371, Z-score: -4.57487
Motif 8 Real: 36616, Mean: 25433.3, Std: 670.788, Z-score: 16.6709
Motif 9 Real: 2012, Mean: 2686.8, Std: 127.668, Z-score: -5.2856
Motif 10 Real: 1035, Mean: 919.12, Std: 57.9345, Z-score: 2.00019
Motif 11 Real: 1675, Mean: 1931.52, Std: 71.9803, Z-score: -3.56375
Motif 12 Real: 784, Mean: 932.99, Std: 57.8571, Z-score: -2.57514
Motif 13 Real: 1117, Mean: 321.76, Std: 36.168, Z-score: 21.9874
Motif 14 Real: 821, Mean: 667.42, Std: 47.5858, Z-score: 3.22743
Motif 15 Real: 1471, Mean: 1931.76, Std: 86.6017, Z-score: -5.32045
Motif 16 Real: 945, Mean: 664.19, Std: 45.3758, Z-score: 6.18854
Motif 17 Real: 1583, Mean: 1387.44, Std: 85.0188, Z-score: 2.3002
Motif 18 Real: 22536, Mean: 23053.8, Std: 548.484, Z-score: -0.944093
Motif 19 Real: 5584, Mean: 7930.11, Std: 246.725, Z-score: -9.50902
Motif 20 Real: 19127, Mean: 16607.5, Std: 332.784, Z-score: 7.571
Motif 21 Real: 4597, Mean: 7995.36, Std: 253.838, Z-score: -13.3879
Motif 22 Real: 2126, Mean: 2751.22, Std: 148.079, Z-score: -4.2222
Motif 23 Real: 4726, Mean: 5754.92, Std: 196.979, Z-score: -5.22349
Motif 24 Real: 16577, Mean: 16621.3, Std: 293.936, Z-score: -0.150815
Motif 25 Real: 4921, Mean: 5731.48, Std: 189.94, Z-score: -4.26704
Motif 26 Real: 18269, Mean: 12017.3, Std: 385.573, Z-score: 16.2141
Motif 27 Real: 10626, Mean: 8599.54, Std: 95.6659, Z-score: 21.1827
Motif 28 Real: 2797, Mean: 2987.32, Std: 47.1486, Z-score: -4.0366
Motif 29 Real: 6061, Mean: 6198.12, Std: 62.1106, Z-score: -2.20768
Motif 30 Real: 1382, Mean: 2657.14, Std: 51.0536, Z-score: -24.9765
Motif 31 Real: 1626, Mean: 912.43, Std: 28.6756, Z-score: 24.8843
Motif 32 Real: 970, Mean: 1914.85, Std: 37.2153, Z-score: -25.3888
Motif 33 Real: 5252, Mean: 5381.22, Std: 76.0616, Z-score: -1.69889
Motif 34 Real: 1733, Mean: 1858.17, Std: 45.7861, Z-score: -2.7338
Motif 35 Real: 3836, Mean: 3881.51, Std: 48.3974, Z-score: -0.940339
Motif 36 Real: 1031, Mean: 1595.55, Std: 45.4062, Z-score: -12.4333
Motif 37 Real: 593, Mean: 556.02, Std: 24.7415, Z-score: 1.49466
Motif 38 Real: 677, Mean: 1152.68, Std: 33.9298, Z-score: -14.0195
Motif 39 Real: 610, Mean: 489.48, Std: 25.1173, Z-score: 4.79829
Motif 40 Real: 1901, Mean: 171.3, Std: 14.4324, Z-score: 119.849
Motif 41 Real: 497, Mean: 355.42, Std: 20.2331, Z-score: 6.99745
Motif 42 Real: 712, Mean: 995.17, Std: 35.1148, Z-score: -8.06411
Motif 43 Real: 471, Mean: 347, Std: 19.6078, Z-score: 6.32402
Motif 44 Real: 631, Mean: 720.91, Std: 25.7318, Z-score: -3.49413
Motif 45 Real: 4760, Mean: 5014.34, Std: 86.2589, Z-score: -2.94857
Motif 46 Real: 1394, Mean: 1739.3, Std: 43.0774, Z-score: -8.01579
Motif 47 Real: 3523, Mean: 3619.13, Std: 60.2189, Z-score: -1.59634
Motif 48 Real: 820, Mean: 1543.85, Std: 41.7707, Z-score: -17.3291
Motif 49 Real: 1135, Mean: 538.63, Std: 19.7436, Z-score: 30.2057
Motif 50 Real: 758, Mean: 1115.9, Std: 37.7037, Z-score: -9.49245
Motif 51 Real: 2860, Mean: 3126.79, Std: 58.4908, Z-score: -4.56123
Motif 52 Real: 1323, Mean: 1087.16, Std: 32.2655, Z-score: 7.30935
Motif 53 Real: 2840, Mean: 2260.07, Std: 56.2351, Z-score: 10.3126
