Motif 0 Real: 1423162, Mean: 1.6441e+06, Std: 22287.9, Z-score: -9.91278
Motif 1 Real: 1361062, Mean: 1.76547e+06, Std: 27318.7, Z-score: -14.8033
Motif 2 Real: 4721187, Mean: 5.18253e+06, Std: 53727.2, Z-score: -8.58682
Motif 3 Real: 1695796, Mean: 1.77151e+06, Std: 24723.1, Z-score: -3.06237
Motif 4 Real: 2929973, Mean: 2.76947e+06, Std: 27966.9, Z-score: 5.739
Motif 5 Real: 6432294, Mean: 5.91431e+06, Std: 47382.1, Z-score: 10.9321
Motif 6 Real: 4837988, Mean: 5.18596e+06, Std: 51463, Z-score: -6.76163
Motif 7 Real: 5384674, Mean: 5.89309e+06, Std: 50696.4, Z-score: -10.0287
Motif 8 Real: 20194975, Mean: 1.88547e+07, Std: 89539.8, Z-score: 14.9688
Motif 9 Real: 158383, Mean: 194992, Std: 4150.53, Z-score: -8.82036
Motif 10 Real: 137961, Mean: 146779, Std: 2868.33, Z-score: -3.07436
Motif 11 Real: 437959, Mean: 551470, Std: 6486.71, Z-score: -17.499
Motif 12 Real: 142810, Mean: 147121, Std: 2758.71, Z-score: -1.56265
Motif 13 Real: 197087, Mean: 126143, Std: 2797.76, Z-score: 25.3573
Motif 14 Real: 458039, Mean: 414396, Std: 5879.97, Z-score: 7.4223
Motif 15 Real: 466118, Mean: 552804, Std: 6964.62, Z-score: -12.4466
Motif 16 Real: 458308, Mean: 414911, Std: 6004.71, Z-score: 7.22723
Motif 17 Real: 1929621, Mean: 1.83767e+06, Std: 12733.4, Z-score: 7.22119
Motif 18 Real: 11197554, Mean: 9.54965e+06, Std: 64382.8, Z-score: 25.5954
Motif 19 Real: 6961901, Mean: 7.65798e+06, Std: 42328.1, Z-score: -16.4449
Motif 20 Real: 24241501, Mean: 2.32152e+07, Std: 103472, Z-score: 9.91811
Motif 21 Real: 8183288, Mean: 7.65249e+06, Std: 47858.5, Z-score: 11.0909
Motif 22 Real: 6435618, Mean: 6.86316e+06, Std: 46237.8, Z-score: -9.24648
Motif 23 Real: 19234403, Mean: 1.91935e+07, Std: 79469.7, Z-score: 0.514846
Motif 24 Real: 23352704, Mean: 2.32294e+07, Std: 103164, Z-score: 1.19477
Motif 25 Real: 15651387, Mean: 1.92e+07, Std: 82245.3, Z-score: -43.1471
Motif 26 Real: 64855781, Mean: 6.35526e+07, Std: 162730, Z-score: 8.00799
Motif 27 Real: 4747, Mean: 6106.16, Std: 115.147, Z-score: -11.8037
Motif 28 Real: 3270, Mean: 5193.82, Std: 99.1308, Z-score: -19.4069
Motif 29 Real: 11883, Mean: 15665.1, Std: 231.313, Z-score: -16.3508
Motif 30 Real: 3727, Mean: 5261.49, Std: 176.058, Z-score: -8.71583
Motif 31 Real: 7194, Mean: 5590.8, Std: 159.547, Z-score: 10.0485
Motif 32 Real: 8869, Mean: 14322, Std: 428.336, Z-score: -12.7306
Motif 33 Real: 26476, Mean: 13230.9, Std: 214.55, Z-score: 61.7344
Motif 34 Real: 10673, Mean: 11566.5, Std: 143.104, Z-score: -6.2435
Motif 35 Real: 40264, Mean: 38792.6, Std: 507.925, Z-score: 2.89687
Motif 36 Real: 2040, Mean: 3996.29, Std: 76.2119, Z-score: -25.6691
Motif 37 Real: 3390, Mean: 4074.21, Std: 85.2943, Z-score: -8.02176
Motif 38 Real: 5929, Mean: 10227.1, Std: 196.442, Z-score: -21.8799
Motif 39 Real: 3421, Mean: 5284.54, Std: 242.102, Z-score: -7.69734
Motif 40 Real: 13261, Mean: 6837.2, Std: 209.37, Z-score: 30.6816
Motif 41 Real: 8179, Mean: 13908.3, Std: 576.89, Z-score: -9.93137
Motif 42 Real: 7371, Mean: 9053.28, Std: 208.702, Z-score: -8.06067
Motif 43 Real: 8093, Mean: 9751.81, Std: 185.963, Z-score: -8.92012
Motif 44 Real: 16393, Mean: 25608.2, Std: 490.176, Z-score: -18.7997
Motif 45 Real: 15565, Mean: 17899.3, Std: 136.967, Z-score: -17.0429
Motif 46 Real: 14127, Mean: 15361.9, Std: 137.712, Z-score: -8.96755
Motif 47 Real: 66065, Mean: 48492, Std: 242.228, Z-score: 72.5473
Motif 48 Real: 15549, Mean: 18157.8, Std: 281.181, Z-score: -9.27798
Motif 49 Real: 30188, Mean: 18717.4, Std: 237.387, Z-score: 48.3203
Motif 50 Real: 48366, Mean: 50674.5, Std: 666.677, Z-score: -3.46271
Motif 51 Real: 45060, Mean: 41172.6, Std: 313.491, Z-score: 12.4002
Motif 52 Real: 30149, Mean: 37075.2, Std: 239.951, Z-score: -28.8653
Motif 53 Real: 128058, Mean: 126286, Std: 698.897, Z-score: 2.53557
