Motif 0 Real: 1961, Mean: 4636, Std: 323.855, Z-score: -8.25988
Motif 1 Real: 55452, Mean: 96967.5, Std: 4686.18, Z-score: -8.85915
Motif 2 Real: 25738, Mean: 45307.8, Std: 2334.75, Z-score: -8.38193
Motif 3 Real: 66585, Mean: 97358.9, Std: 5030.19, Z-score: -6.11785
Motif 4 Real: 3131673, Mean: 2.81529e+06, Std: 19455.5, Z-score: 16.262
Motif 5 Real: 1289399, Mean: 1.238e+06, Std: 14401.3, Z-score: 3.56875
Motif 6 Real: 26119, Mean: 45399.6, Std: 2068.86, Z-score: -9.31944
Motif 7 Real: 1076107, Mean: 1.23712e+06, Std: 16793.4, Z-score: -9.58786
Motif 8 Real: 497528, Mean: 590479, Std: 9230.2, Z-score: -10.0703
Motif 9 Real: 210661, Mean: 182640, Std: 3227.61, Z-score: 8.68167
Motif 10 Real: 846621, Mean: 949511, Std: 9629.5, Z-score: -10.6848
Motif 11 Real: 1671850, Mean: 1.56453e+06, Std: 17073.5, Z-score: 6.28579
Motif 12 Real: 980119, Mean: 953510, Std: 9713.35, Z-score: 2.73938
Motif 13 Real: 5867231, Mean: 7.00462e+06, Std: 27728.6, Z-score: -41.0187
Motif 14 Real: 10670038, Mean: 1.07277e+07, Std: 37637, Z-score: -1.53237
Motif 15 Real: 1794874, Mean: 1.56994e+06, Std: 17024.3, Z-score: 13.2128
Motif 16 Real: 9654809, Mean: 1.06861e+07, Std: 34567.8, Z-score: -29.834
Motif 17 Real: 22371850, Mean: 2.04295e+07, Std: 50245, Z-score: 38.6579
Motif 18 Real: 2034926, Mean: 1.26113e+06, Std: 17752.5, Z-score: 43.5882
Motif 19 Real: 7631882, Mean: 6.53503e+06, Std: 59588.9, Z-score: 18.4069
Motif 20 Real: 7549658, Mean: 6.24901e+06, Std: 60210, Z-score: 21.6018
Motif 21 Real: 9011678, Mean: 6.55035e+06, Std: 55004.3, Z-score: 44.7479
Motif 22 Real: 39625649, Mean: 3.99341e+07, Std: 152147, Z-score: -2.02716
Motif 23 Real: 36670340, Mean: 3.55686e+07, Std: 134948, Z-score: 8.16409
Motif 24 Real: 7468329, Mean: 6.25429e+06, Std: 53804.4, Z-score: 22.5639
Motif 25 Real: 30068147, Mean: 3.55349e+07, Std: 135789, Z-score: -40.259
Motif 26 Real: 33182310, Mean: 3.53555e+07, Std: 145941, Z-score: -14.8911
Motif 27 Real: 149, Mean: 168.48, Std: 14.5279, Z-score: -1.34087
Motif 28 Real: 53, Mean: 608.62, Std: 38.3716, Z-score: -14.48
Motif 29 Real: 83, Mean: 575.93, Std: 40.2822, Z-score: -12.2369
Motif 30 Real: 3034, Mean: 626.39, Std: 49.2999, Z-score: 48.836
Motif 31 Real: 1746, Mean: 5124.35, Std: 215.281, Z-score: -15.6928
Motif 32 Real: 1393, Mean: 3866.58, Std: 229.262, Z-score: -10.7893
Motif 33 Real: 4715, Mean: 402.52, Std: 35.1026, Z-score: 122.854
Motif 34 Real: 1257, Mean: 2404.85, Std: 91.1554, Z-score: -12.5922
Motif 35 Real: 920, Mean: 2298.39, Std: 122, Z-score: -11.2983
Motif 36 Real: 282, Mean: 842.61, Std: 28.3848, Z-score: -19.7504
Motif 37 Real: 6002, Mean: 5453.19, Std: 91.3185, Z-score: 6.00985
Motif 38 Real: 4078, Mean: 5686.63, Std: 103.122, Z-score: -15.5993
Motif 39 Real: 3112, Mean: 8003.76, Std: 122.472, Z-score: -39.9419
Motif 40 Real: 124040, Mean: 110496, Std: 572.412, Z-score: 23.6617
Motif 41 Real: 56465, Mean: 91520.1, Std: 612.412, Z-score: -57.241
Motif 42 Real: 3047, Mean: 4653.57, Std: 93.2034, Z-score: -17.2372
Motif 43 Real: 86291, Mean: 53485.8, Std: 368.924, Z-score: 88.9212
Motif 44 Real: 42414, Mean: 62518.6, Std: 386.917, Z-score: -51.9612
Motif 45 Real: 337, Mean: 716.39, Std: 30.385, Z-score: -12.4861
Motif 46 Real: 3044, Mean: 4180.77, Std: 90.3463, Z-score: -12.5824
Motif 47 Real: 8362, Mean: 4157.38, Std: 99.7068, Z-score: 42.1698
Motif 48 Real: 5553, Mean: 7476.05, Std: 144.438, Z-score: -13.314
Motif 49 Real: 50519, Mean: 66429.1, Std: 541.868, Z-score: -29.3615
Motif 50 Real: 108926, Mean: 61245.9, Std: 601.846, Z-score: 79.223
Motif 51 Real: 2386, Mean: 3649.22, Std: 103.2, Z-score: -12.2405
Motif 52 Real: 15768, Mean: 33506.2, Std: 294.765, Z-score: -60.1774
Motif 53 Real: 44331, Mean: 38209.8, Std: 415.319, Z-score: 14.7385
