Motif 0 Real: 18, Mean: 65.21, Std: 14.5034, Z-score: -3.25509
Motif 1 Real: 240, Mean: 575.13, Std: 80.436, Z-score: -4.16642
Motif 2 Real: 294, Mean: 419.64, Std: 66.0418, Z-score: -1.90243
Motif 3 Real: 308, Mean: 585.31, Std: 74.9554, Z-score: -3.69967
Motif 4 Real: 7167, Mean: 9369.34, Std: 330.314, Z-score: -6.66742
Motif 5 Real: 6331, Mean: 6175.79, Std: 260.026, Z-score: 0.596902
Motif 6 Real: 410, Mean: 428.81, Std: 66.649, Z-score: -0.282225
Motif 7 Real: 6081, Mean: 6102.63, Std: 258.684, Z-score: -0.0836157
Motif 8 Real: 7803, Mean: 4930.14, Std: 268.457, Z-score: 10.7014
Motif 9 Real: 68302, Mean: 56504.8, Std: 1391.86, Z-score: 8.47589
Motif 10 Real: 731723, Mean: 795206, Std: 11967.4, Z-score: -5.30461
Motif 11 Real: 776893, Mean: 701450, Std: 11574.6, Z-score: 6.51798
Motif 12 Real: 852232, Mean: 798386, Std: 10931.8, Z-score: 4.92567
Motif 13 Real: 17011374, Mean: 1.90373e+07, Std: 48770.5, Z-score: -41.5402
Motif 14 Real: 15006372, Mean: 1.45293e+07, Std: 39396.4, Z-score: 12.1097
Motif 15 Real: 851199, Mean: 703960, Std: 10818, Z-score: 13.6106
Motif 16 Real: 13764864, Mean: 1.44869e+07, Std: 41022.4, Z-score: -17.6009
Motif 17 Real: 16504907, Mean: 1.44589e+07, Std: 42129.1, Z-score: 48.566
Motif 18 Real: 605305, Mean: 328747, Std: 8799.42, Z-score: 31.4291
Motif 19 Real: 5137032, Mean: 4.19043e+06, Std: 59186.7, Z-score: 15.9934
Motif 20 Real: 3067249, Mean: 2.33326e+06, Std: 34947.7, Z-score: 21.0024
Motif 21 Real: 6055202, Mean: 4.18492e+06, Std: 59052.6, Z-score: 31.6714
Motif 22 Real: 63825162, Mean: 6.62093e+07, Std: 212436, Z-score: -11.2228
Motif 23 Real: 35852725, Mean: 3.43231e+07, Std: 131370, Z-score: 11.6433
Motif 24 Real: 3122099, Mean: 2.32987e+06, Std: 36945.3, Z-score: 21.4434
Motif 25 Real: 30337019, Mean: 3.42787e+07, Std: 117622, Z-score: -33.5114
Motif 26 Real: 19883223, Mean: 1.97067e+07, Std: 124840, Z-score: 1.41414
Motif 27 Real: 24, Mean: 41.06, Std: 7.20805, Z-score: -2.3668
Motif 28 Real: 20, Mean: 160.72, Std: 21.2784, Z-score: -6.61329
Motif 29 Real: 11, Mean: 109.04, Std: 15.0238, Z-score: -6.52563
Motif 30 Real: 1504, Mean: 156.13, Std: 20.1222, Z-score: 66.9843
Motif 31 Real: 615, Mean: 2244.04, Std: 194.404, Z-score: -8.37964
Motif 32 Real: 236, Mean: 1077.93, Std: 123.967, Z-score: -6.79154
Motif 33 Real: 1188, Mean: 73.84, Std: 15.3989, Z-score: 72.3533
Motif 34 Real: 315, Mean: 653.56, Std: 104.487, Z-score: -3.24022
Motif 35 Real: 132, Mean: 421.5, Std: 87.9417, Z-score: -3.29195
Motif 36 Real: 74, Mean: 233.1, Std: 16.29, Z-score: -9.76674
Motif 37 Real: 3558, Mean: 3430.31, Std: 69.5474, Z-score: 1.83601
Motif 38 Real: 1532, Mean: 2015.95, Std: 60.418, Z-score: -8.01003
Motif 39 Real: 2062, Mean: 5111.51, Std: 90.1893, Z-score: -33.8123
Motif 40 Real: 219908, Mean: 201450, Std: 851.913, Z-score: 21.6661
Motif 41 Real: 55704, Mean: 92353.5, Std: 530.329, Z-score: -69.1071
Motif 42 Real: 1206, Mean: 1773.01, Std: 60.8405, Z-score: -9.31962
Motif 43 Real: 78675, Mean: 56107.7, Std: 401.734, Z-score: 56.1748
Motif 44 Real: 24208, Mean: 37589.5, Std: 292.506, Z-score: -45.7479
Motif 45 Real: 74, Mean: 137.49, Std: 12.3562, Z-score: -5.13829
Motif 46 Real: 1515, Mean: 1843.82, Std: 65.3515, Z-score: -5.03156
Motif 47 Real: 2218, Mean: 1054.51, Std: 47.7306, Z-score: 24.3762
Motif 48 Real: 2618, Mean: 3581.31, Std: 90.7021, Z-score: -10.6206
Motif 49 Real: 67871, Mean: 82430.3, Std: 797.824, Z-score: -18.2488
Motif 50 Real: 81416, Mean: 43528.9, Std: 544.229, Z-score: 69.6161
Motif 51 Real: 869, Mean: 1046.39, Std: 54.4066, Z-score: -3.26045
Motif 52 Real: 12747, Mean: 24141.9, Std: 365.936, Z-score: -31.139
Motif 53 Real: 18007, Mean: 15539.6, Std: 292.807, Z-score: 8.4267
