Motif 0 Real: 701094, Mean: 735841, Std: 20980.6, Z-score: -1.65617
Motif 1 Real: 1602308, Mean: 1.68047e+06, Std: 31468.4, Z-score: -2.48383
Motif 2 Real: 1868700, Mean: 2.40152e+06, Std: 38426.1, Z-score: -13.8661
Motif 3 Real: 1955222, Mean: 1.68133e+06, Std: 30748.8, Z-score: 8.90729
Motif 4 Real: 6404767, Mean: 3.83983e+06, Std: 71803.9, Z-score: 35.7215
Motif 5 Real: 5940007, Mean: 5.48716e+06, Std: 58751.5, Z-score: 7.70789
Motif 6 Real: 1950213, Mean: 2.39722e+06, Std: 44986, Z-score: -9.93652
Motif 7 Real: 5178091, Mean: 5.47395e+06, Std: 51686.7, Z-score: -5.72406
Motif 8 Real: 5919576, Mean: 7.82266e+06, Std: 103771, Z-score: -18.3392
Motif 9 Real: 2028235, Mean: 1.82531e+06, Std: 23282.7, Z-score: 8.71588
Motif 10 Real: 4051946, Mean: 4.15988e+06, Std: 33218.8, Z-score: -3.24917
Motif 11 Real: 5217715, Mean: 5.93908e+06, Std: 44392.1, Z-score: -16.2498
Motif 12 Real: 4391817, Mean: 4.15952e+06, Std: 34085.5, Z-score: 6.81519
Motif 13 Real: 11005356, Mean: 9.48e+06, Std: 69719.3, Z-score: 21.8785
Motif 14 Real: 13054257, Mean: 1.35356e+07, Std: 59066.9, Z-score: -8.14832
Motif 15 Real: 5269679, Mean: 5.93362e+06, Std: 43316.4, Z-score: -15.3277
Motif 16 Real: 11807316, Mean: 1.35225e+07, Std: 56224, Z-score: -30.5064
Motif 17 Real: 21037486, Mean: 1.93083e+07, Std: 109174, Z-score: 15.8384
Motif 18 Real: 4849204, Mean: 2.91164e+06, Std: 40440.7, Z-score: 47.9111
Motif 19 Real: 8030395, Mean: 6.63629e+06, Std: 58289.4, Z-score: 23.9169
Motif 20 Real: 10387287, Mean: 9.46779e+06, Std: 77834.1, Z-score: 11.8136
Motif 21 Real: 8892465, Mean: 6.63063e+06, Std: 57702.3, Z-score: 39.1984
Motif 22 Real: 17249652, Mean: 1.51148e+07, Std: 127118, Z-score: 16.7943
Motif 23 Real: 21058816, Mean: 2.15627e+07, Std: 104769, Z-score: -4.80957
Motif 24 Real: 9942549, Mean: 9.45793e+06, Std: 76649, Z-score: 6.32251
Motif 25 Real: 18029169, Mean: 2.15587e+07, Std: 111571, Z-score: -31.6348
Motif 26 Real: 25658212, Mean: 3.07573e+07, Std: 189529, Z-score: -26.9039
Motif 27 Real: 2072, Mean: 1507.96, Std: 50.4281, Z-score: 11.185
Motif 28 Real: 3312, Mean: 3455.36, Std: 88.9297, Z-score: -1.61206
Motif 29 Real: 5175, Mean: 4921.28, Std: 135.227, Z-score: 1.87625
Motif 30 Real: 6311, Mean: 4350.6, Std: 134.151, Z-score: 14.6134
Motif 31 Real: 11114, Mean: 9901.58, Std: 266.994, Z-score: 4.54101
Motif 32 Real: 11431, Mean: 14138, Std: 422.037, Z-score: -6.41402
Motif 33 Real: 10027, Mean: 3598.26, Std: 98.425, Z-score: 65.3161
Motif 34 Real: 10299, Mean: 8214.13, Std: 204.68, Z-score: 10.186
Motif 35 Real: 14991, Mean: 11716.1, Std: 287.746, Z-score: 11.3811
Motif 36 Real: 5238, Mean: 7925.33, Std: 93.442, Z-score: -28.7593
Motif 37 Real: 15108, Mean: 18049.4, Std: 176.874, Z-score: -16.6299
Motif 38 Real: 17477, Mean: 25786.5, Std: 199.584, Z-score: -41.6339
Motif 39 Real: 17266, Mean: 22545, Std: 254.582, Z-score: -20.736
Motif 40 Real: 61100, Mean: 51367.3, Std: 515.356, Z-score: 18.8854
Motif 41 Real: 49199, Mean: 73259.3, Std: 649.054, Z-score: -37.0698
Motif 42 Real: 18141, Mean: 18898.7, Std: 177.505, Z-score: -4.26845
Motif 43 Real: 36183, Mean: 43111.2, Std: 357.383, Z-score: -19.3859
Motif 44 Real: 47166, Mean: 61443.3, Std: 425.166, Z-score: -33.5805
Motif 45 Real: 6254, Mean: 4776.19, Std: 81.8814, Z-score: 18.0482
Motif 46 Real: 13341, Mean: 10887.8, Std: 156.287, Z-score: 15.697
Motif 47 Real: 24857, Mean: 15524.3, Std: 189.896, Z-score: 49.1466
Motif 48 Real: 17145, Mean: 13587.3, Std: 221.911, Z-score: 16.0321
Motif 49 Real: 39957, Mean: 30982.5, Std: 456.784, Z-score: 19.6471
Motif 50 Real: 50771, Mean: 44162.4, Std: 648.881, Z-score: 10.1846
Motif 51 Real: 16754, Mean: 11349.7, Std: 161.426, Z-score: 33.4786
Motif 52 Real: 23766, Mean: 25895.8, Std: 293.606, Z-score: -7.2539
Motif 53 Real: 43852, Mean: 36951.9, Std: 438.37, Z-score: 15.7404
