Platform,Alignment Bin,Slope (β),Std Error,N
bsky,0.05–0.1,1.9259502132088095,0.47181683092932347,28
ts,0.05–0.1,1.0386757371298407,0.019400762495165088,162
bsky,0.0–0.05,5.670326290354768e-53,8.079908941553986e-81,62901
ts,0.0–0.05,2.0565475339493115e-30,2.56123683346862e-39,24299
bsky,0.15–0.2,1.147659319487734,0.07803659860213713,393
ts,0.15–0.2,1.044509486596209,0.005041812362543404,1157
bsky,0.1–0.15,1.1247433772780173,0.167158130577187,130
ts,0.1–0.15,1.054956087734458,0.0093442210878703,481
bsky,0.25–0.3,0.872620817915932,0.06229126211176177,291
ts,0.25–0.3,1.0105498791921603,0.0046287437840000665,1562
bsky,0.2–0.25,1.0821962409253074,0.04489898995390539,613
ts,0.2–0.25,1.0509616686177516,0.004106422668558929,1646
bsky,0.35–0.4,0.858007059606294,0.030057800651673818,803
ts,0.35–0.4,0.9305069933636211,0.005185722483366041,2037
bsky,0.3–0.35,0.9024049320814631,0.020024567148548944,1351
ts,0.3–0.35,1.0096653122922765,0.0035571328159523913,2530
bsky,0.45–0.5,0.8702555972748438,0.010523704423557195,3169
ts,0.45–0.5,1.0156192851183785,0.004507193696971703,2733
bsky,0.4–0.45,0.8114983832770053,0.03421795793580681,485
ts,0.4–0.45,0.9267674193338094,0.00615986016582718,1284
bsky,0.55–0.6,0.8876035617091385,0.03197942633303278,736
ts,0.55–0.6,1.0014426060219326,0.011262890379594688,820
bsky,0.5–0.55,0.7152510042575132,0.060582274148348915,258
ts,0.5–0.55,0.9647582322857343,0.015496258829636124,541
bsky,0.65–0.7,0.9125129891726071,0.02689754879932921,1096
ts,0.65–0.7,1.0391129305286273,0.011947389802398541,771
bsky,0.6–0.65,0.7853965970728317,0.056727391239414234,261
ts,0.6–0.65,0.9546706268734156,0.022113690897156556,306
bsky,0.75–0.8,0.6221146252620627,0.08342489529432515,242
ts,0.75–0.8,1.0445442719317504,0.04559394615630943,158
bsky,0.7–0.75,0.8831136174459694,0.0476796588835595,525
ts,0.7–0.75,1.051817151086526,0.026894194984866837,364
bsky,0.85–0.9,0.8004386244042104,0.29580257619191247,85
ts,0.85–0.9,0.9144426898930529,0.1944721148752263,49
bsky,0.8–0.85,1.0213913953111795,0.1367539800352429,105
ts,0.8–0.85,1.0704994027874517,0.06120403924568123,59
bsky,0.95–1.0,0.9999978098073896,2.0153648198926878e-16,5870
ts,0.95–1.0,1.578552021475742,2.2230973781170676e-16,2896
bsky,0.9–0.95,-2.68927119452956,1.9561716434649639,10
