,post,response
0,MSM constantly lies about President Trump constantly but not worried because majority of Americans see it.,reinforce
1,"It couldn’t hurt, at this point. Need to get the grooming trans out first.",reinforce
2,The Draft would only be necessary under extreme conditions of national security. We have no need for one at this time or anytime in the foreseeable future.,reinforce
3,Because we weren't going to War every time we turned around.,reinforce
4,Didn't Biden recently say something about reinstituting the draft?,reinforce
5,What’s wrong with everyone serving a couple years in the military? A lot of other countries do this,reinforce
6,"Trump knocks report, says he has 'never even thought' of bringing back mandatory military service",reinforce
7,"Leftard globalists always project their faults and mandatory military service is no different. Germany, Poland, and the UK are also considering it under their WEF leaders who want WWIII to remain in power.",reinforce
8,Stop making up lies about President Trump!,reinforce
9,NY Times never gets it right… He’ll bring back the active military….,reinforce
10,"No, # Democrats did",reinforce
11,Only if you do not have bone spurs…,reinforce
12,You know the one. The red one. IF you think Trump is Satan then you’ve been brain washed. You’ll love living under communism and Marxism. No thinking required on your part. They’ll tell you what to think.,reinforce
13,You have NO fucking FREEDOMS under the tyranny of the democrats. We are right back to why we fought the British !!!! Wake the F up !!!!!,reinforce
14,"Soon, I am expecting attacks and Fake News from that pig Goldberg (pictured) from The Atlantic !!!",reinforce
15,Trump is fake!,reinforce
16,Left wing media always tells lies about Trump. Majority remembers how great things were under Trump & Biden is a mumbling fool.,reinforce
17,Maddow should be forced to join so someone could kick her ass.,reinforce
18,What Military... Military Industrial complex. Took over the Pentagon..... Woke took over the Military.... Fauci with the help Biden. Let many go because they refused the Vax America. Has no Military..... Just more BS. From the Fake News ‼️‼️‼️,reinforce
19,"Did 10, freely gave my oath at 19.",reinforce
20,Wrong! # Democrats did,reinforce
21,I say first strike you do your time/pay your fine but on the second you get a mandatory 5 yrs in jail or 2 years military service.,reinforce
22,Another fake story!,reinforce
23,"This is a DEMOCRAT NAZI 2way to WARN US people. If Biden CHEATED to WIN again, the Democrat NAZIS would use military to control us. Whatever the Democrat NAZIs say is the reflections of what they are about to do to us.",reinforce
24,I think the other side would be the ones that would do this,reinforce
25,Let’s make it simple……anything and everything that comes out of a Democrats mouth is a lie.,reinforce
26,The Democrats never stop lying about our favorite President.,reinforce
27,Biden nay have to..likeky be at war before trump takes office,reinforce
28,"If we would allow drill sergeants to be drill sergeants again, I think it would. However, with the crap going on in the military right now, it wouldn't.",reinforce
29,Omg. Along with everything else the left media says about him. Really? They said he was going to do all sorts of bad things when he was president. Did he? No. Just made our country better while giving away every single paycheck.,reinforce
30,"The U.S. military is voluntary and should remain so, but as long as you have Biden in office the stability in the U.S. will change and with that instability could create such an environment that the U.S. would have to make it mandatory service. Trump does not want mandatory service and would not have a need for it as the country would be stable and secure.",reinforce
31,"The Democrats are getting desperate, they will use any means of making you look bad in the eyes of the public, but your people know better then to believe dumb things said, that we know wouldn't be expressed by you! To us right now you can do no wrong, and crooked Joe Biden can do no right!",reinforce
32,It’s ‘ridiculous.’,reinforce
33,The democrats are really desperate! 😡😡👍🇺🇸🫡🥃🥃,reinforce
34,Who really believes the orange felon?,reinforce
35,A 2yr stretch would do wonders i believe. Right after high school. Maybe instil self pride and confidence.,reinforce
36,"This might be a good idea for ALL of our prisons inmates. I don’t mean to put them in our branches of the military, but to adopt military discipline and structure to the prison population. Most inmates have never received any structure and accountability in their lives and it just may teach them respect and a good work ethic….",reinforce
37,"He won't need to do that at all. I bet my head that when DJT takes over the WH again, OurAmerican boys & girls will be more than willing to enlist.",reinforce
38,They make up more lies than Satan himself.,reinforce
39,Rapist? Lol ok satanist 😆,reinforce
40,Didn’t obriben say something about bringing back the draft because American soldiers may go to Ukraine?,reinforce
