,id,post,lang,reply,ap
2603044,112589866472448424,"Another 🤡 with no profile pic hiding in mommy's basement from MAGA ,COPE WITH LOSING ? 🤣🤣🤣COMIING FROM THE SCUM THAT STILL TRYING TO SAY RUSSIA HELPED TRUMP Win in 2016 knowing it was HILLARY THAT COLLUDED WITH RUSSIA PAYING FOR RUSSIAN DISINFORMATION AND BIDEN THAT USED 51 CIA AGENTS TO KNOWINGLY LIE & SAY THE BIDEN LAPTOP WAS RUSSIAN DISINFORMATION 🤣🤣🤣🤣TO STEAL 2020 ! JUST STFU U MORONIC COMMUNIST PIECE OF SCUM WITH PINK HAIR & GENDER CONFUSED HANGING with YA MOMMY DIRTBAG ..150 Days THE GREATEST PRESIDENT IN 🇺🇸 HISTORY DONALD TRUMP RETURNS TO FIX THE MESS BIDEN & THE REAL CRIMINALS CAUSED ! YOU'RE TO FUCKING STUPID FOR LIFE .... # TRUTH",en,True,0.6725868
2463985,112621125881453410,You look like you are having a good time this morning! You need to wipe the Vaseline off your hands before you use your keyboard! Enjoy your love of Donald Trump and his platform! # deepstate # liesandpropaganda # lies # propaganda # FakeNews # CaughtLying # FactCheck # DNC # Trump2024 # Trump # letsgobrandon # FJB # realdonaldtrump # DevonNunes # KashPatel # bidenharris2024 # algorithm # Snowflake # MAGA # BidenIsAChildMolester # soros # FollowtheMoney # OPENSOCIETY # opensocietyfoundation # mediamatters # FBI # SecretService # electioninterference,en,True,0.6717384
257526,112546589406263284,"""Holy SHIZZLES! Donald Trump raised $53 Million Dollars in SMALL DOLLAR DONATIONS in 24 Hours! Eric also speaks about this BS trial… • No one believes they shut down the DA’s office for a three year period to investigate Trump over $130,000 • No one believes they shut down lower Manhattan, for six weeks and the largest NYPD presence… for $130,000 • November one believes while they have someone with a machete in a McDonald’s in Times Square cutting the hell out of people, Alvin Bragg is sitting in a courthouse over $130,000 • Hunter Biden has a laptop full of hookers, cocaine, they’re finding drugs in the White House…, illegal deals with every country around the world… • Joe Biden, look how much money he made? How did he get that money as a senator salary? • What about Clinton’s? Hillary deleted 33,000 emails… she got away with murder! 👀 """,en,False,0.6592865
1636146,112689054255187133,"￼ Pedophile Joe, and all the adults in the Biden’s family should’ve been in jail yesterday. And let’s vote out all the douche bag pedophile communist Democrap parasites along with the Biden’s family. So the truth will set you free vote for President Donald J. Trump. 🤜🩸🤛",en,True,0.65873194
1114751,112589420448587283,# your_Willful_ignorance troubles me. Seek help Your # Willful_Blindness to # Hur_Report Citing each and every time Biden As # US_Senator # Smuggled_Stolen_Pilfered # US_Intel From # SCIFs over 40 yr It was a felony! Then to make matters WORSE # Biden_WILLFULLY_DISCLOSED_US_INTEL In $8M book deal per # DOJ_Hur_Report ! # DOJ_Hur_Report_Confirms_Biden_IS_Guilty You poor brainwashed Biden cult follower! # I_WAS_Democrat_for_Decades # You_too_can_wake_up_from_wokeness It isn’t too late to save US!,en,True,0.6577633
2495921,112575601773677320,"Much better # Trump # MAGA hat! # BoneSpursTrump when he was # POTUS did not attend # Normandy # Dday commemoration because it was raining & he had concerns about his # hair , not to mention he said “Why would I visit that # cemetery it’s full of # suckers & # loosers ” making him a disgusting human being; an # Adulerer to all 3 # wives ; 4 # felony # conviction 34 # counts ; # convicted guilty of # FALSIFYINGBUSINESSRECORDS # PornStar sex # PlayboyBunny year long affair; 7 # bankruptcies # January6th involvement; # GeorgiaElectionCase Lost the # 2020election # electioninterference # Georgia # created # BigLie . # TrumpIsALiar # ConvictedCriminal # DonaldTrumpIsACowardATraitorCriminalAndAFraud # VoteBlueUpandDowntheballot2024 to save our # Democracy from this # SpawnOfSatan (I can see why he has concerns about the planted things he has on the top of his head YIKES!)",en,True,0.65661734
2674101,112640943524660652,Glad to see you two dipshits stopped fucken around on my time! Skipping like fat drag queen fairy’s don’t make me or Trump money!💴 # deepstate # liesandpropaganda # lies # propaganda # FakeNews # CaughtLying # FactCheck # DNC # Trump2024 # Trump # letsgobrandon # FJB # realdonaldtrump # DevonNunes # KashPatel # bidenharris2024 # algorithm # Snowflake # MAGA # BidenIsAChildMolester # soros # FollowtheMoney # OPENSOCIETY # opensocietyfoundation # mediamatters # FBI # SecretService # electioninterference,en,True,0.65542483
93080,112633775924868204,"# SaveTheChildren # MAGA # TrumpWon # PHPNews # Covfefe # Truth # Trump2024 # Trump # FJB # MAGA2024 😬😆 When @ BidenHQ falls, stumbles, stammers and wanders off aimlessly, again..... ❗️",en,False,0.65397584
1665447,112656544825313217,"Put your money where your mouth is, orange convicted felon! # HunterBiden # MAGA # Trump2024 # Truth # MAGA2024 # FakeNews # Trump # LilyPadLounge # Trump2024toSaveAmerica # Biden",en,True,0.652161
1453816,112542251190856222,😂 handover the 2024 election wrapped with a bow why don’t cha 😂 🍻 Happy Hour 🍻 at the new # Obama # Biden Mar-a-lago and White House resort tonight! Everyone’s welcome except 34 x convicted-felons. But keep those CONSERVATIVE DONATIONS coming. Trump promises to put them to good use for his commissary! 🇺🇸Trump 2177🇺🇸 after he’s paroled! # WINNING 🫡,en,True,0.6516955
